,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
641,641,a1571,b1934,who can i be now? (1974-1976) [box set],david bowie,Sep 23 2016,bowie legacy,david bowie,Nov 11 2016
642,642,a1571,b2046,who can i be now? (1974-1976) [box set],david bowie,Sep 23 2016,no plan,david bowie,Jan 8 2017
643,643,a1571,b2579,who can i be now? (1974-1976) [box set],david bowie,Sep 23 2016,cracked actor (live los angeles '74),david bowie,Apr 22 2017
644,644,a1573,b1026,campaign [mixtape],ty dolla $ign,Sep 23 2016,free tc,ty dolla $ign,Nov 13 2015
645,645,a1574,b1729,writing of blues & yellows,billie marten,Sep 23 2016,writing of blues and yellows,billie marten,Sep 23 2016
646,646,a1575,b1737,broken lines,giraffe tongue orchestra,Sep 23 2016,broken lines,giraffe tongue orchestra,Sep 23 2016
647,647,a1578,b1727,breakin' outta hell,airbourne,Sep 23 2016,breakin' outta hell,airbourne,Sep 23 2016
648,648,a1588,b1695,braver than we are,meat loaf,Sep 16 2016,braver than we are,meat loaf,Sep 9 2016
649,649,a1591,b1710,cosmonaut,the monochrome set,Sep 16 2016,faithful satellite,the black sorrows,Sep 16 2016
650,650,a1592,b1707,shape shift with me,against me!,Sep 16 2016,shape shift with me,against me!,Sep 16 2016
651,651,a1592,b818,shape shift with me,against me!,Sep 16 2016,23 live sex acts,against me!,Sep 4 2015
652,652,a1595,b1710,unseen,the handsome family,Sep 16 2016,faithful satellite,the black sorrows,Sep 16 2016
653,653,a1598,b1722,fixion,trentemøller,Sep 16 2016,fixion,trentemøller,Sep 16 2016
654,654,a1599,b1708,i remember,alunageorge,Sep 16 2016,i remember,alunageorge,Sep 16 2016
655,655,a16,b2781,saturation iii,brockhampton,Dec 15 2017,saturation,brockhampton,Jun 9 2017
